Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:

Name:,JustGo-1379M,,,Name:,SpdCoach 2981163,,,Firmware:,---,,,Boat ID:,---
Start Time:,07/26/2024 03:22 午後,,,Model:,SpeedCoach GPS Pro,,,,,,,Seat Number:,---
Type:,Just Go,,,Serial:,2981163,,,,,,,Port Starboard:,---
System of Units:,Meters/Split500,,,Firmware Version:,2.24,,,,,,,Oar Length:,---
Speed Input:,GPS,,,Profile Version:,0.03,,,,,,,Inboard Length:,---
,,,,Hardware Version:,Rev 12B
,,,,LiNK Version:,1.0.36


Session Summary:

Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,846.4,0.0,00:10:40,---,1.32,00:00:00.0,0.00,---,154,5.5,0.0,---,---,---,---,---,---,---,---,---,---,35.4896987,137.0724347


Interval Summaries:

Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,1379.0,0.0,00:13:25.3,00:04:52.3,1.71,00:00:00.0,0.00,24.5,214,6.4,0.0,---,---,---,---,---,---,---,---,---,---,32.77260250,130.75188120



Per-Stroke Data:

Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,540.4,0.0,00:02:46.2,00:03:15.3,2.56,00:00:00.0,0.00,20.5,61,7.8,0.0,---,---,---,---,---,---,---,---,---,---,35.48969870,137.07243470
1,549.4,0.0,00:02:48.8,00:02:54.2,2.87,00:00:00.0,0.00,21.0,62,9.0,0.0,---,---,---,---,---,---,---,---,---,---,35.48961840,137.07244240
1,558.8,0.0,00:02:51.6,00:02:36.2,3.20,00:00:00.0,0.00,22.0,63,9.4,0.0,---,---,---,---,---,---,---,---,---,---,35.48953460,137.07244960
1,566.0,0.0,00:02:53.6,00:02:30.1,3.33,00:00:00.0,0.00,29.0,64,7.2,0.0,---,---,---,---,---,---,---,---,---,---,35.48946980,137.07245400
1,574.1,0.0,00:02:55.8,00:02:20.8,3.55,00:00:00.0,0.00,29.0,65,8.2,0.0,---,---,---,---,---,---,---,---,---,---,35.48939650,137.07246010
1,582.1,0.0,00:02:57.8,00:02:11.2,3.81,00:00:00.0,0.00,29.0,66,7.9,0.0,---,---,---,---,---,---,---,---,---,---,35.48932560,137.07246750
1,590.2,0.0,00:02:59.8,00:02:07.5,3.92,00:00:00.0,0.00,30.5,67,8.1,0.0,---,---,---,---,---,---,---,---,---,---,35.48925300,137.07247730
1,598.4,0.0,00:03:01.8,00:02:05.0,4.00,00:00:00.0,0.00,30.5,68,8.1,0.0,---,---,---,---,---,---,---,---,---,---,35.48918020,137.07248700
1,611.5,0.0,00:03:05.4,00:02:06.2,3.96,00:00:00.0,0.00,18.0,69,13.2,0.0,---,---,---,---,---,---,---,---,---,---,35.48906210,137.07249930
1,619.8,0.0,00:03:08.0,00:02:22.8,3.50,00:00:00.0,0.00,20.0,70,8.2,0.0,---,---,---,---,---,---,---,---,---,---,35.48898880,137.07250850
1,627.8,0.0,00:03:11.0,00:02:50.6,2.93,00:00:00.0,0.00,20.0,71,8.1,0.0,---,---,---,---,---,---,---,---,---,---,35.48891640,137.07251400
1,635.9,0.0,00:03:14.2,00:03:10.8,2.62,00:00:00.0,0.00,19.5,72,8.1,0.0,---,---,---,---,---,---,---,---,---,---,35.48884370,137.07251890
1,645.1,0.0,00:03:18.0,00:03:21.6,2.48,00:00:00.0,0.00,16.0,73,9.2,0.0,---,---,---,---,---,---,---,---,---,---,35.48876150,137.07252580
1,652.6,0.0,00:03:20.8,00:03:19.2,2.51,00:00:00.0,0.00,21.5,74,7.5,0.0,---,---,---,---,---,---,---,---,---,---,35.48869390,137.07252810
1,660.2,0.0,00:03:23.6,00:03:11.5,2.61,00:00:00.0,0.00,20.5,75,7.6,0.0,---,---,---,---,---,---,---,---,---,---,35.48862580,137.07252950
1,669.1,0.0,00:03:26.4,00:02:54.8,2.86,00:00:00.0,0.00,23.5,76,8.9,0.0,---,---,---,---,---,---,---,---,---,---,35.48854610,137.07253050
1,677.2,0.0,00:03:29.2,00:02:46.6,3.00,00:00:00.0,0.00,20.0,77,8.1,0.0,---,---,---,---,---,---,---,---,---,---,35.48847350,137.07253110
1,684.6,0.0,00:03:31.8,00:02:55.4,2.85,00:00:00.0,0.00,23.0,78,7.5,0.0,---,---,---,---,---,---,---,---,---,---,35.48840650,137.07253290
1,692.4,0.0,00:03:34.6,00:02:58.5,2.80,00:00:00.0,0.00,21.0,79,7.7,0.0,---,---,---,---,---,---,---,---,---,---,35.48833700,137.07253660
1,700.0,0.0,00:03:37.2,00:02:48.3,2.97,00:00:00.0,0.00,24.5,80,7.7,0.0,---,---,---,---,---,---,---,---,---,---,35.48826830,137.07254140
1,708.5,0.0,00:03:39.4,00:02:31.9,3.29,00:00:00.0,0.00,26.0,81,8.5,0.0,---,---,---,---,---,---,---,---,---,---,35.48819230,137.07254870
1,716.4,0.0,00:03:41.6,00:02:22.8,3.50,00:00:00.0,0.00,26.5,82,7.9,0.0,---,---,---,---,---,---,---,---,---,---,35.48812140,137.07255420
1,724.1,0.0,00:03:43.6,00:02:18.5,3.61,00:00:00.0,0.00,28.0,83,7.7,0.0,---,---,---,---,---,---,---,---,---,---,35.48805260,137.07255860
1,732.7,0.0,00:03:45.8,00:02:11.9,3.79,00:00:00.0,0.00,28.0,84,8.6,0.0,---,---,---,---,---,---,---,---,---,---,35.48797560,137.07256390
1,741.3,0.0,00:03:48.0,00:02:08.8,3.88,00:00:00.0,0.00,27.0,85,8.7,0.0,---,---,---,---,---,---,---,---,---,---,35.48789810,137.07256990
1,754.2,0.0,00:03:51.6,00:02:10.8,3.82,00:00:00.0,0.00,19.0,86,12.9,0.0,---,---,---,---,---,---,---,---,---,---,35.48778240,137.07257900
1,762.2,0.0,00:03:54.4,00:02:30.1,3.33,00:00:00.0,0.00,20.0,87,8.0,0.0,---,---,---,---,---,---,---,---,---,---,35.48771100,137.07258510
1,779.2,0.0,00:04:03.0,00:03:55.8,2.12,00:00:00.0,0.00,58.0,88,17.0,0.0,---,---,---,---,---,---,---,---,---,---,35.48754530,137.07259660
1,785.2,0.0,00:04:06.8,00:05:14.4,1.59,00:00:00.0,0.00,16.0,89,5.9,0.0,---,---,---,---,---,---,---,---,---,---,35.48749200,137.07259850
1,791.2,0.0,00:04:10.2,00:05:10.5,1.61,00:00:00.0,0.00,17.0,90,6.1,0.0,---,---,---,---,---,---,---,---,---,---,35.48743770,137.07259960
1,797.6,0.0,00:04:13.6,00:04:40.8,1.78,00:00:00.0,0.00,17.5,91,6.4,0.0,---,---,---,---,---,---,---,---,---,---,35.48738020,137.07260200
1,804.8,0.0,00:04:16.6,00:04:01.5,2.07,00:00:00.0,0.00,20.0,92,7.2,0.0,---,---,---,---,---,---,---,---,---,---,35.48731540,137.07260490
1,812.4,0.0,00:04:19.2,00:03:17.6,2.53,00:00:00.0,0.00,23.0,93,7.6,0.0,---,---,---,---,---,---,---,---,---,---,35.48724710,137.07260790
1,819.9,0.0,00:04:21.6,00:02:51.8,2.91,00:00:00.0,0.00,25.5,94,7.5,0.0,---,---,---,---,---,---,---,---,---,---,35.48718020,137.07261260
1,827.2,0.0,00:04:24.0,00:02:38.2,3.16,00:00:00.0,0.00,26.0,95,7.3,0.0,---,---,---,---,---,---,---,---,---,---,35.48711470,137.07261830
1,835.5,0.0,00:04:26.2,00:02:27.4,3.39,00:00:00.0,0.00,25.5,96,8.3,0.0,---,---,---,---,---,---,---,---,---,---,35.48704030,137.07262480
