Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:

Name:,JustGo-3157M,,,Name:,Vanilla Wakana,,,Firmware:,---,,,Boat ID:,---
Start Time:,03/22/25 09:13Œß‘O,,,Model:,SpeedCoach GPS Pro,,,,,,,Seat Number:,---
Type:,Just Go,,,Serial:,2981163,,,,,,,Port Starboard:,---
System of Units:,Meters/Split500,,,Firmware Version:,2.24,,,,,,,Oar Length:,---
Speed Input:,GPS,,,Profile Version:,0.03,,,,,,,Inboard Length:,---
,,,,Hardware Version:,Rev 12B
,,,,LiNK Version:,1.32


Session Summary:

Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,3157.6,0.0,00:21:31.0,00:03:24.9,2.44,00:00:00.0,0.00,24.0,413,7.6,0.0,---,---,---,---,---,---,---,---,---,---,35.65478080,135.97523840


Interval Summaries:

Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,3157.6,0.0,00:21:31.0,00:03:24.9,2.44,00:00:00.0,0.00,24.0,413,7.6,0.0,---,---,---,---,---,---,---,---,---,---,35.65478080,135.97523840



Per-Stroke Data:

Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,0.0,0.0,00:00:01.5,00:00:00.0,0.00,---,---,38.5,1,0.0,0.0,---,---,---,---,---,---,---,---,---,---,35.65478080,135.97523840
1,3.7,0.0,00:00:04.1,00:00:00.0,0.00,00:00:00.0,0.00,32.5,2,3.7,0.0,---,---,---,---,---,---,---,---,---,---,35.65354870,135.97446210
1,5.3,0.0,00:00:04.9,00:00:00.0,0.00,00:00:00.0,0.00,42.0,3,1.7,0.0,---,---,---,---,---,---,---,---,---,---,35.65356010,135.97444660
1,13.9,0.0,00:00:07.9,00:00:00.0,0.00,00:00:00.0,0.00,21.5,4,8.6,0.0,---,---,---,---,---,---,---,---,---,---,35.65363870,135.97443950
1,25.4,0.0,00:00:10.7,00:00:00.0,0.00,00:00:00.0,0.00,21.0,5,11.5,0.0,---,---,---,---,---,---,---,---,---,---,35.65374040,135.97442810
1,34.6,0.0,00:00:13.3,00:00:00.0,0.00,00:00:00.0,0.00,21.5,6,9.3,0.0,---,---,---,---,---,---,---,---,---,---,35.65382480,135.97442520
1,44.4,0.0,00:00:16.1,00:00:00.0,0.00,00:00:00.0,0.00,21.5,7,9.8,0.0,---,---,---,---,---,---,---,---,---,---,35.65391160,135.97440960
1,54.2,0.0,00:00:18.9,00:00:00.0,0.00,00:00:00.0,0.00,22.0,8,9.7,0.0,---,---,---,---,---,---,---,---,---,---,35.65398840,135.97440340
1,64.5,0.0,00:00:21.5,00:00:00.0,0.00,00:00:00.0,0.00,22.0,9,10.4,0.0,---,---,---,---,---,---,---,---,---,---,35.65408090,135.97437890
1,76.3,0.0,00:00:24.1,00:00:00.0,0.00,00:00:00.0,0.00,23.0,10,11.7,0.0,---,---,---,---,---,---,---,---,---,---,35.65418910,135.97437530
1,143.0,0.0,00:00:26.8,00:09:28.1,0.88,00:00:00.0,0.00,22.5,11,66.7,0.0,---,---,---,---,---,---,---,---,---,---,35.65377690,135.97485800
1,153.3,0.0,00:00:29.6,00:03:02.4,2.74,00:00:00.0,0.00,22.0,12,10.3,0.0,---,---,---,---,---,---,---,---,---,---,35.65386890,135.97484710
1,163.2,0.0,00:00:32.0,00:02:16.6,3.66,00:00:00.0,0.00,23.5,13,9.9,0.0,---,---,---,---,---,---,---,---,---,---,35.65395760,135.97483490
1,171.9,0.0,00:00:34.5,00:02:19.6,3.58,00:00:00.0,0.00,24.5,14,8.7,0.0,---,---,---,---,---,---,---,---,---,---,35.65403560,135.97482680
1,181.9,0.0,00:00:37.2,00:02:19.2,3.59,00:00:00.0,0.00,22.5,15,9.9,0.0,---,---,---,---,---,---,---,---,---,---,35.65412470,135.97481800
1,191.4,0.0,00:00:39.8,00:02:17.3,3.64,00:00:00.0,0.00,22.5,16,9.5,0.0,---,---,---,---,---,---,---,---,---,---,35.65420980,135.97481000
1,214.8,0.0,00:00:48.8,00:03:11.5,2.61,00:00:00.0,0.00,51.5,17,23.5,0.0,---,---,---,---,---,---,---,---,---,---,35.65448010,135.97478540
1,219.1,0.0,00:00:51.2,00:05:22.5,1.55,00:00:00.0,0.00,30.0,18,4.3,0.0,---,---,---,---,---,---,---,---,---,---,35.60208960,135.90924360
1,220.7,0.0,00:00:52.0,00:04:34.7,1.82,00:00:00.0,0.00,47.0,19,1.6,0.0,---,---,---,---,---,---,---,---,---,---,35.60210370,135.90924050
1,228.1,0.0,00:00:55.2,00:03:46.2,2.21,00:00:00.0,0.00,20.0,20,7.4,0.0,---,---,---,---,---,---,---,---,---,---,35.60216940,135.90922630
1,235.5,0.0,00:00:58.2,00:03:33.6,2.34,00:00:00.0,0.00,19.0,21,7.4,0.0,---,---,---,---,---,---,---,---,---,---,35.60223450,135.90921020
1,242.7,0.0,00:01:01.2,00:03:27.4,2.41,00:00:00.0,0.00,20.0,22,7.1,0.0,---,---,---,---,---,---,---,---,---,---,35.60229680,135.90919220
1,250.4,0.0,00:01:04.0,00:03:18.4,2.52,00:00:00.0,0.00,21.5,23,7.7,0.0,---,---,---,---,---,---,---,---,---,---,35.60236450,135.90917310
1,259.7,0.0,00:01:07.0,00:02:56.0,2.84,00:00:00.0,0.00,21.5,24,9.3,0.0,---,---,---,---,---,---,---,---,---,---,35.60244630,135.90915010
1,268.7,0.0,00:01:09.6,00:02:38.7,3.15,00:00:00.0,0.00,21.5,25,8.9,0.0,---,---,---,---,---,---,---,---,---,---,35.60252500,135.90913040
1,279.1,0.0,00:01:12.6,00:02:28.3,3.37,00:00:00.0,0.00,21.0,26,10.5,0.0,---,---,---,---,---,---,---,---,---,---,35.60261740,135.90910960
1,288.5,0.0,00:01:15.2,00:02:23.6,3.48,00:00:00.0,0.00,21.0,27,9.4,0.0,---,---,---,---,---,---,---,---,---,---,35.60270060,135.90909280
1,298.5,0.0,00:01:18.0,00:02:22.8,3.50,00:00:00.0,0.00,22.0,28,10.0,0.0,---,---,---,---,---,---,---,---,---,---,35.60278910,135.90907620
1,308.5,0.0,00:01:20.8,00:02:21.2,3.54,00:00:00.0,0.00,21.5,29,10.0,0.0,---,---,---,---,---,---,---,---,---,---,35.60287810,135.90905900
1,318.1,0.0,00:01:23.4,00:02:19.6,3.58,00:00:00.0,0.00,22.5,30,9.6,0.0,---,---,---,---,---,---,---,---,---,---,35.60296310,135.90904070
