Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:

Name:,JustGo-8591M,,,Name:,Vanilla Wakana,,,Firmware:,---,,,Boat ID:,---
Start Time:,05/11/25 08:47�ߑO,,,Model:,SpeedCoach GPS Pro,,,,,,,Seat Number:,---
Type:,Just Go,,,Serial:,2981163,,,,,,,Port Starboard:,---
System of Units:,Meters/Split500,,,Firmware Version:,2.24,,,,,,,Oar Length:,---
Speed Input:,GPS,,,Profile Version:,0.03,,,,,,,Inboard Length:,---
,,,,Hardware Version:,Rev 12B
,,,,LiNK Version:,1.32


Session Summary:

Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,8121.4,0.0,00:53:15.7,---,2.54,00:00:00.0,0.00,---,1104,7.4,0.0,---,---,---,---,---,---,---,---,---,---,32.7723842,130.7518009


Interval Summaries:

Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,8591.5,0.0,01:24:06.4,00:04:54.1,1.70,00:00:00.0,0.00,36.5,1729,5.0,0.0,---,---,---,---,---,---,---,---,---,---,32.77238420,130.75180090



Per-Stroke Data:

Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,2.2,0.0,00:00:02.2,00:06:07.6,1.36,00:00:00.0,0.00,27.0,1,2.2,0.0,---,---,---,---,---,---,---,---,---,---,32.77238420,130.75180090
1,8.8,0.0,00:00:06.0,00:06:27.5,1.29,00:00:00.0,0.00,17.5,2,6.7,0.0,---,---,---,---,---,---,---,---,---,---,32.77232640,130.75178260
1,13.9,0.0,00:00:08.8,00:04:57.6,1.68,00:00:00.0,0.00,19.5,3,5.1,0.0,---,---,---,---,---,---,---,---,---,---,32.77228350,130.75176350
1,19.7,0.0,00:00:12.0,00:04:42.4,1.77,00:00:00.0,0.00,19.0,4,5.7,0.0,---,---,---,---,---,---,---,---,---,---,32.77223890,130.75173240
1,24.9,0.0,00:00:14.8,00:04:39.3,1.79,00:00:00.0,0.00,22.0,5,5.3,0.0,---,---,---,---,---,---,---,---,---,---,32.77220290,130.75169590
1,33.7,0.0,00:00:19.2,00:04:25.9,1.88,00:00:00.0,0.00,13.5,6,8.8,0.0,---,---,---,---,---,---,---,---,---,---,32.77214570,130.75163080
1,39.0,0.0,00:00:22.2,00:04:25.9,1.88,00:00:00.0,0.00,20.0,7,5.3,0.0,---,---,---,---,---,---,---,---,---,---,32.77211560,130.75158690
1,43.6,0.0,00:00:24.8,00:04:40.8,1.78,00:00:00.0,0.00,22.0,8,4.6,0.0,---,---,---,---,---,---,---,---,---,---,32.77209430,130.75154440
1,50.6,0.0,00:00:29.0,00:04:47.3,1.74,00:00:00.0,0.00,15.5,9,7.0,0.0,---,---,---,---,---,---,---,---,---,---,32.77207290,130.75147410
1,56.0,0.0,00:00:32.0,00:04:49.0,1.73,00:00:00.0,0.00,18.5,10,5.4,0.0,---,---,---,---,---,---,---,---,---,---,32.77206190,130.75141780
1,61.6,0.0,00:00:35.0,00:04:39.3,1.79,00:00:00.0,0.00,20.5,11,5.6,0.0,---,---,---,---,---,---,---,---,---,---,32.77205900,130.75135750
1,69.0,0.0,00:00:40.2,00:05:08.6,1.62,00:00:00.0,0.00,11.5,12,7.3,0.0,---,---,---,---,---,---,---,---,---,---,32.77205380,130.75127950
