Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:

Name:,JustGo-12348M,,,Name:,Vanilla Wakana,,,Firmware:,---,,,Boat ID:,---
Start Time:,05/18/25 09:01Œß‘O,,,Model:,SpeedCoach GPS Pro,,,,,,,Seat Number:,---
Type:,Just Go,,,Serial:,2981163,,,,,,,Port Starboard:,---
System of Units:,Meters/Split500,,,Firmware Version:,2.24,,,,,,,Oar Length:,---
Speed Input:,GPS,,,Profile Version:,0.03,,,,,,,Inboard Length:,---
,,,,Hardware Version:,Rev 12B
,,,,LiNK Version:,1.32


Session Summary:

Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,12348.5,0.0,01:16:39.5,00:03:06.5,2.68,00:00:00.0,0.00,24.0,1543,8.0,0.0,---,---,---,---,---,---,---,---,---,---,32.77177270,130.75164170


Interval Summaries:

Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,12348.5,0.0,01:16:39.5,00:03:06.5,2.68,00:00:00.0,0.00,24.0,1543,8.0,0.0,---,---,---,---,---,---,---,---,---,---,32.77177270,130.75164170



Per-Stroke Data:

Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,1.0,0.0,00:00:02.9,00:13:53.3,0.60,00:00:00.0,0.00,21.0,1,1.0,0.0,---,---,---,---,---,---,---,---,---,---,32.77177270,130.75164170
1,4.5,0.0,00:00:07.8,00:16:40.0,0.50,00:00:00.0,0.00,12.5,2,3.4,0.0,---,---,---,---,---,---,---,---,---,---,32.77176660,130.75160570
1,7.9,0.0,00:00:10.7,00:09:21.7,0.89,00:00:00.0,0.00,21.5,3,3.4,0.0,---,---,---,---,---,---,---,---,---,---,32.77176860,130.75156900
1,13.0,0.0,00:00:13.7,00:05:52.1,1.42,00:00:00.0,0.00,21.0,4,5.1,0.0,---,---,---,---,---,---,---,---,---,---,32.77178280,130.75151560
1,19.2,0.0,00:00:15.9,00:04:27.3,1.87,00:00:00.0,0.00,32.5,5,6.3,0.0,---,---,---,---,---,---,---,---,---,---,32.77180340,130.75145330
1,22.1,0.0,00:00:16.9,00:03:15.3,2.56,00:00:00.0,0.00,36.0,6,2.9,0.0,---,---,---,---,---,---,---,---,---,---,32.77181250,130.75142480
1,30.6,0.0,00:00:19.9,00:02:48.3,2.97,00:00:00.0,0.00,21.0,7,8.5,0.0,---,---,---,---,---,---,---,---,---,---,32.77184150,130.75134050
1,40.1,0.0,00:00:22.9,00:02:46.1,3.01,00:00:00.0,0.00,19.5,8,9.5,0.0,---,---,---,---,---,---,---,---,---,---,32.77187500,130.75124740
1,49.0,0.0,00:00:25.7,00:02:34.3,3.24,00:00:00.0,0.00,21.5,9,8.9,0.0,---,---,---,---,---,---,---,---,---,---,32.77190710,130.75116020
1,65.0,0.0,00:00:31.1,00:02:39.2,3.14,00:00:00.0,0.00,11.0,10,16.0,0.0,---,---,---,---,---,---,---,---,---,---,32.77196880,130.75100640
1,71.6,0.0,00:00:33.3,00:03:07.2,2.67,00:00:00.0,0.00,36.0,11,6.7,0.0,---,---,---,---,---,---,---,---,---,---,32.77199460,130.75094220
1,74.3,0.0,00:00:34.3,00:02:56.6,2.83,00:00:00.0,0.00,39.5,12,2.7,0.0,---,---,---,---,---,---,---,---,---,---,32.77200500,130.75091580
1,84.0,0.0,00:00:37.3,00:02:35.7,3.21,00:00:00.0,0.00,20.5,13,9.7,0.0,---,---,---,---,---,---,---,---,---,---,32.77204330,130.75082280
1,93.4,0.0,00:00:40.1,00:02:36.7,3.19,00:00:00.0,0.00,20.5,14,9.4,0.0,---,---,---,---,---,---,---,---,---,---,32.77208070,130.75073270
1,103.3,0.0,00:00:43.1,00:02:33.8,3.25,00:00:00.0,0.00,21.0,15,9.8,0.0,---,---,---,---,---,---,---,---,---,---,32.77212050,130.75063910
1,120.6,0.0,00:00:52.0,00:03:59.2,2.09,00:00:00.0,0.00,46.5,16,17.4,0.0,---,---,---,---,---,---,---,---,---,---,32.77219490,130.75044900
