Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:

Name:,JustGo-9470M,,,Name:,Vanilla Wakana,,,Firmware:,---,,,Boat ID:,---
Start Time:,07/12/25 08:46�ߑO,,,Model:,SpeedCoach GPS Pro,,,,,,,Seat Number:,---
Type:,Just Go,,,Serial:,2981163,,,,,,,Port Starboard:,---
System of Units:,Meters/Split500,,,Firmware Version:,2.24,,,,,,,Oar Length:,---
Speed Input:,GPS,,,Profile Version:,0.03,,,,,,,Inboard Length:,---
,,,,Hardware Version:,Rev 12B
,,,,LiNK Version:,1.32


Session Summary:

Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,9345.0,0.0,01:08:56,---,2.26,00:00:00.0,0.00,---,1420,6.6,0.0,---,---,---,---,---,---,---,---,---,---,32.7723158,130.750698


Interval Summaries:

Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,9470.4,0.0,01:09:26.6,00:03:40.2,2.27,00:00:00.0,0.00,27.5,1427,6.6,0.0,---,---,---,---,---,---,---,---,---,---,32.77358510,130.75010640



Per-Stroke Data:

Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,126.4,0.0,00:00:23.3,00:06:21.6,1.31,00:00:00.0,0.00,57.5,8,1.1,0.0,---,---,---,---,---,---,---,---,---,---,32.77231580,130.75069800
1,129.5,0.0,00:00:25.9,00:06:13.1,1.34,00:00:00.0,0.00,25.5,9,3.1,0.0,---,---,---,---,---,---,---,---,---,---,32.77231320,130.75066500
1,130.7,0.0,00:00:26.7,00:05:37.8,1.48,00:00:00.0,0.00,53.5,10,1.2,0.0,---,---,---,---,---,---,---,---,---,---,32.77231210,130.75065230
1,143.8,0.0,00:00:36.2,00:06:04.9,1.37,00:00:00.0,0.00,39.5,11,13.2,0.0,---,---,---,---,---,---,---,---,---,---,32.77232270,130.75037050
1,156.3,0.0,00:00:50.6,00:10:09.7,0.82,00:00:00.0,0.00,9.0,12,12.5,0.0,---,---,---,---,---,---,---,---,---,---,32.77240350,130.74996350
1,159.3,0.0,00:00:53.6,00:13:13.6,0.63,00:00:00.0,0.00,21.0,13,3.0,0.0,---,---,---,---,---,---,---,---,---,---,32.77240380,130.74993170
1,163.1,0.0,00:00:56.3,00:07:34.5,1.10,00:00:00.0,0.00,21.5,14,3.8,0.0,---,---,---,---,---,---,---,---,---,---,32.77239520,130.74989150
1,167.4,0.0,00:00:59.1,00:05:31.1,1.51,00:00:00.0,0.00,23.0,15,4.3,0.0,---,---,---,---,---,---,---,---,---,---,32.77237910,130.74984910
1,172.2,0.0,00:01:01.6,00:04:57.6,1.68,00:00:00.0,0.00,22.0,16,4.8,0.0,---,---,---,---,---,---,---,---,---,---,32.77235580,130.74980600
1,179.1,0.0,00:01:04.6,00:04:16.4,1.95,00:00:00.0,0.00,19.5,17,6.9,0.0,---,---,---,---,---,---,---,---,---,---,32.77231920,130.74974620
1,187.1,0.0,00:01:07.4,00:03:23.2,2.46,00:00:00.0,0.00,22.0,18,8.0,0.0,---,---,---,---,---,---,---,---,---,---,32.77227660,130.74967730
1,200.3,0.0,00:01:12.2,00:03:00.5,2.77,00:00:00.0,0.00,13.0,19,13.2,0.0,---,---,---,---,---,---,---,---,---,---,32.77220680,130.74956370
1,205.6,0.0,00:01:14.6,00:03:18.4,2.52,00:00:00.0,0.00,24.5,20,5.4,0.0,---,---,---,---,---,---,---,---,---,---,32.77217520,130.74952000
1,212.1,0.0,00:01:17.2,00:03:30.0,2.38,00:00:00.0,0.00,22.0,21,6.4,0.0,---,---,---,---,---,---,---,---,---,---,32.77213600,130.74946950
1,239.8,0.0,00:01:29.8,00:04:10.0,2.00,00:00:00.0,0.00,12.0,22,27.7,0.0,---,---,---,---,---,---,---,---,---,---,32.77195140,130.74922670
1,246.2,0.0,00:01:33.0,00:04:07.5,2.02,00:00:00.0,0.00,21.0,23,6.4,0.0,---,---,---,---,---,---,---,---,---,---,32.77191550,130.74917320
1,250.8,0.0,00:01:35.5,00:04:13.8,1.97,00:00:00.0,0.00,22.5,24,4.6,0.0,---,---,---,---,---,---,---,---,---,---,32.77188710,130.74913680
1,255.9,0.0,00:01:38.2,00:04:24.5,1.89,00:00:00.0,0.00,23.0,25,5.1,0.0,---,---,---,---,---,---,---,---,---,---,32.77185190,130.74910160
1,261.9,0.0,00:01:41.4,00:04:31.7,1.84,00:00:00.0,0.00,19.0,26,6.0,0.0,---,---,---,---,---,---,---,---,---,---,32.77180910,130.74906220
1,266.5,0.0,00:01:44.0,00:04:36.2,1.81,00:00:00.0,0.00,22.0,27,4.5,0.0,---,---,---,---,---,---,---,---,---,---,32.77177500,130.74903620
1,270.8,0.0,00:01:46.6,00:04:49.0,1.73,00:00:00.0,0.00,22.0,28,4.4,0.0,---,---,---,---,---,---,---,---,---,---,32.77173910,130.74901690
1,275.3,0.0,00:01:49.4,00:05:03.0,1.65,00:00:00.0,0.00,22.0,29,4.5,0.0,---,---,---,---,---,---,---,---,---,---,32.77170010,130.74900350
1,281.6,0.0,00:01:52.6,00:04:42.4,1.77,00:00:00.0,0.00,19.0,30,6.3,0.0,---,---,---,---,---,---,---,---,---,---,32.77164430,130.74899030
1,286.8,0.0,00:01:55.3,00:04:17.7,1.94,00:00:00.0,0.00,22.0,31,5.1,0.0,---,---,---,---,---,---,---,---,---,---,32.77159870,130.74898330
1,291.6,0.0,00:01:57.8,00:04:21.7,1.91,00:00:00.0,0.00,22.0,32,4.9,0.0,---,---,---,---,---,---,---,---,---,---,32.77155470,130.74898300
1,296.7,0.0,00:02:00.6,00:04:24.5,1.89,00:00:00.0,0.00,23.0,33,5.0,0.0,---,---,---,---,---,---,---,---,---,---,32.77151030,130.74899290
1,301.9,0.0,00:02:03.5,00:04:17.7,1.94,00:00:00.0,0.00,23.0,34,5.3,0.0,---,---,---,---,---,---,---,---,---,---,32.77146550,130.74901210
