Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:

Name:,JustGo-9211M,,,Name:,Vanilla Wakana,,,Firmware:,---,,,Boat ID:,---
Start Time:,07/18/25 05:27�ߌ�,,,Model:,SpeedCoach GPS Pro,,,,,,,Seat Number:,---
Type:,Just Go,,,Serial:,2981163,,,,,,,Port Starboard:,---
System of Units:,Meters/Split500,,,Firmware Version:,2.24,,,,,,,Oar Length:,---
Speed Input:,GPS,,,Profile Version:,0.03,,,,,,,Inboard Length:,---
,,,,Hardware Version:,Rev 12B
,,,,LiNK Version:,1.32


Session Summary:

Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,8231.1,0.1,00:58:36.8,---,2.34,6151:09:26.6,0.00,---,1139,7.2,0.0,---,---,---,---,---,---,---,---,---,---,32.7722779,130.7514673


Interval Summaries:

Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,9211.0,0.1,01:28:34.6,00:04:49.0,1.73,6151:09:26.6,0.00,37.5,1842,5.0,0.0,---,---,---,---,---,---,---,---,---,---,32.77227790,130.75146730



Per-Stroke Data:

Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,10.4,0.0,00:00:05.6,00:09:03.4,0.92,00:00:00.0,0.00,10.5,1,10.4,0.0,---,---,---,---,---,---,---,---,---,---,32.77227790,130.75146730
1,16.1,0.0,00:00:09.1,00:04:45.7,1.75,00:00:00.0,0.00,18.0,2,5.7,0.0,---,---,---,---,---,---,---,---,---,---,32.77228580,130.75140680
1,20.6,0.0,00:00:11.2,00:05:08.6,1.62,00:00:00.0,0.00,36.0,3,4.4,0.0,---,---,---,---,---,---,---,---,---,---,32.77229050,130.75135950
1,22.2,0.0,00:00:12.0,00:04:21.7,1.91,00:00:00.0,0.00,44.5,4,1.6,0.0,---,---,---,---,---,---,---,---,---,---,32.77229240,130.75134220
1,27.0,0.0,00:00:14.4,00:04:07.5,2.02,00:00:00.0,0.00,31.5,5,4.8,0.0,---,---,---,---,---,---,---,---,---,---,32.77229520,130.75129110
1,28.7,0.0,00:00:15.2,00:04:05.0,2.04,00:00:00.0,0.00,42.0,6,1.6,0.0,---,---,---,---,---,---,---,---,---,---,32.77229530,130.75127350
1,36.9,0.0,00:00:18.2,00:03:22.4,2.47,00:00:00.0,0.00,21.5,7,8.3,0.0,---,---,---,---,---,---,---,---,---,---,32.77229610,130.75118510
1,44.2,0.0,00:00:21.0,00:03:03.8,2.72,00:00:00.0,0.00,21.5,8,7.3,0.0,---,---,---,---,---,---,---,---,---,---,32.77229140,130.75110770
1,52.6,0.0,00:00:23.8,00:02:52.4,2.90,00:00:00.0,0.00,20.5,9,8.4,0.0,---,---,---,---,---,---,---,---,---,---,32.77228350,130.75101790
1,61.9,0.0,00:00:26.6,00:02:37.7,3.17,00:00:00.0,0.00,21.5,10,9.2,0.0,---,---,---,---,---,---,---,---,---,---,32.77227520,130.75091980
1,83.4,0.0,00:00:35.8,00:03:31.8,2.36,00:00:00.0,0.00,39.5,11,21.5,0.0,---,---,---,---,---,---,---,---,---,---,32.77225810,130.75064600
1,85.1,0.0,00:00:36.8,00:05:14.4,1.59,00:00:00.0,0.00,51.0,12,1.7,0.0,---,---,---,---,---,---,---,---,---,---,32.77225930,130.75062800
1,89.2,0.0,00:00:39.2,00:05:04.8,1.64,00:00:00.0,0.00,30.0,13,4.2,0.0,---,---,---,---,---,---,---,---,---,---,32.77226240,130.75058380
1,90.8,0.0,00:00:40.0,00:04:40.8,1.78,00:00:00.0,0.00,47.5,14,1.5,0.0,---,---,---,---,---,---,---,---,---,---,32.77226360,130.75056760
1,96.9,0.0,00:00:43.2,00:04:11.2,1.99,00:00:00.0,0.00,19.0,15,6.1,0.0,---,---,---,---,---,---,---,---,---,---,32.77226880,130.75050260
1,112.7,0.0,00:00:53.8,00:05:59.7,1.39,00:00:00.0,0.00,21.0,16,15.8,0.0,---,---,---,---,---,---,---,---,---,---,32.77229250,130.75026360
1,117.5,0.0,00:01:02.8,00:05:59.7,1.39,00:00:00.0,0.00,20.0,17,4.8,0.0,---,---,---,---,---,---,---,---,---,---,32.77232590,130.75011910
1,118.6,0.0,00:01:03.6,00:08:15.0,1.01,00:00:00.0,0.00,47.5,18,1.1,0.0,---,---,---,---,---,---,---,---,---,---,32.77232930,130.75010800
1,123.2,0.0,00:01:06.4,00:05:54.6,1.41,00:00:00.0,0.00,26.0,19,4.7,0.0,---,---,---,---,---,---,---,---,---,---,32.77234230,130.75006080
1,124.8,0.0,00:01:07.2,00:04:50.6,1.72,00:00:00.0,0.00,44.5,20,1.6,0.0,---,---,---,---,---,---,---,---,---,---,32.77234670,130.75004500
1,132.1,0.0,00:01:10.7,00:03:50.4,2.17,00:00:00.0,0.00,18.5,21,7.3,0.0,---,---,---,---,---,---,---,---,---,---,32.77236760,130.74997050
1,139.6,0.0,00:01:13.7,00:03:30.0,2.38,00:00:00.0,0.00,21.5,22,7.4,0.0,---,---,---,---,---,---,---,---,---,---,32.77238740,130.74989470
1,147.5,0.0,00:01:16.2,00:03:10.1,2.63,00:00:00.0,0.00,21.0,23,7.9,0.0,---,---,---,---,---,---,---,---,---,---,32.77240740,130.74981370
1,155.5,0.0,00:01:19.2,00:03:02.4,2.74,00:00:00.0,0.00,21.0,24,8.0,0.0,---,---,---,---,---,---,---,---,---,---,32.77242740,130.74973120
1,163.1,0.0,00:01:21.9,00:02:59.8,2.78,00:00:00.0,0.00,21.0,25,7.6,0.0,---,---,---,---,---,---,---,---,---,---,32.77244550,130.74965260
1,193.7,0.0,00:01:35.9,00:03:35.5,2.32,00:00:00.0,0.00,9.5,26,30.5,0.0,---,---,---,---,---,---,---,---,---,---,32.77250500,130.74932330
1,197.9,0.0,00:01:38.3,00:05:18.4,1.57,00:00:00.0,0.00,31.5,27,4.2,0.0,---,---,---,---,---,---,---,---,---,---,32.77250870,130.74927850
1,199.5,0.0,00:01:39.1,00:04:39.3,1.79,00:00:00.0,0.00,44.5,28,1.6,0.0,---,---,---,---,---,---,---,---,---,---,32.77251000,130.74926160
1,206.5,0.0,00:01:42.3,00:03:52.5,2.15,00:00:00.0,0.00,19.0,29,7.0,0.0,---,---,---,---,---,---,---,---,---,---,32.77251330,130.74918650
1,213.9,0.0,00:01:45.3,00:03:38.3,2.29,00:00:00.0,0.00,20.0,30,7.4,0.0,---,---,---,---,---,---,---,---,---,---,32.77251670,130.74910780
1,222.2,0.0,00:01:48.5,00:03:19.2,2.51,00:00:00.0,0.00,19.5,31,8.3,0.0,---,---,---,---,---,---,---,---,---,---,32.77251940,130.74901880
1,243.3,0.0,00:01:58.5,00:04:30.2,1.85,00:00:00.0,0.00,24.5,32,21.1,0.0,---,---,---,---,---,---,---,---,---,---,32.77251710,130.74876620
1,249.1,0.0,00:02:02.2,00:04:52.3,1.71,00:00:00.0,0.00,18.5,33,5.8,0.0,---,---,---,---,---,---,---,---,---,---,32.77250810,130.74870530
1,253.6,0.0,00:02:04.7,00:04:54.1,1.70,00:00:00.0,0.00,21.5,34,4.5,0.0,---,---,---,---,---,---,---,---,---,---,32.77249580,130.74865890
1,257.0,0.0,00:02:06.9,00:05:10.5,1.61,00:00:00.0,0.00,26.0,35,3.4,0.0,---,---,---,---,---,---,---,---,---,---,32.77248550,130.74862520
1,268.4,0.0,00:02:19.2,01:09:26.6,0.12,00:00:00.0,0.00,13.0,36,11.4,0.0,---,---,---,---,---,---,---,---,---,---,32.77237000,130.74832940
1,269.8,0.0,00:02:22.9,00:36:13.9,0.23,00:00:00.0,0.00,17.0,37,1.3,0.0,---,---,---,---,---,---,---,---,---,---,32.77236250,130.74831840
1,274.0,0.0,00:02:33.6,00:24:30.5,0.34,00:00:00.0,0.00,19.5,38,4.2,0.0,---,---,---,---,---,---,---,---,---,---,32.77233830,130.74830290
1,276.4,0.0,00:02:37.2,00:19:22.7,0.43,00:00:00.0,0.00,17.0,39,2.4,0.0,---,---,---,---,---,---,---,---,---,---,32.77231830,130.74831220
1,282.4,0.0,00:02:43.8,00:11:24.9,0.73,00:00:00.0,0.00,9.0,40,6.0,0.0,---,---,---,---,---,---,---,---,---,---,32.77227390,130.74834890
