Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:

Name:,JustGo-5938M,,,Name:,Vanilla Wakana,,,Firmware:,---,,,Boat ID:,---
Start Time:,07/26/25 06:44�ߑO,,,Model:,SpeedCoach GPS Pro,,,,,,,Seat Number:,---
Type:,Just Go,,,Serial:,2981163,,,,,,,Port Starboard:,---
System of Units:,Meters/Split500,,,Firmware Version:,2.24,,,,,,,Oar Length:,---
Speed Input:,GPS,,,Profile Version:,0.03,,,,,,,Inboard Length:,---
,,,,Hardware Version:,Rev 12B
,,,,LiNK Version:,1.32


Session Summary:

Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,1021.4,0.0,00:04:27,---,3.83,00:00:00.0,0.00,---,141,7.2,0.0,---,---,---,---,---,---,---,---,---,---,35.9330644,140.5522099


Interval Summaries:

Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,5938.9,0.0,00:47:53.8,00:04:02.7,2.06,00:00:00.0,0.00,27.5,971,6.1,0.0,---,---,---,---,---,---,---,---,---,---,35.94625810,140.58956540



Per-Stroke Data:

Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,2.2,0.0,00:42:07.8,00:18:31.1,0.45,00:00:00.0,0.00,38.5,1,2.2,0.0,---,---,---,---,---,---,---,---,---,---,35.93306440,140.55220990
1,3.3,0.0,00:42:08.2,00:04:52.3,1.71,00:00:00.0,0.00,97.5,2,1.1,0.0,---,---,---,---,---,---,---,---,---,---,35.93306050,140.55222100
1,8.1,0.0,00:42:09.8,00:03:06.5,2.68,00:00:00.0,0.00,40.0,3,4.8,0.0,---,---,---,---,---,---,---,---,---,---,35.93304430,140.55227030
1,13.8,0.0,00:42:11.4,00:02:38.7,3.15,00:00:00.0,0.00,39.5,4,5.7,0.0,---,---,---,---,---,---,---,---,---,---,35.93302620,140.55232900
1,20.7,0.0,00:42:13.2,00:02:18.1,3.62,00:00:00.0,0.00,35.5,5,6.9,0.0,---,---,---,---,---,---,---,---,---,---,35.93300310,140.55240000
1,27.3,0.0,00:42:15.0,00:02:08.5,3.89,00:00:00.0,0.00,34.5,6,6.6,0.0,---,---,---,---,---,---,---,---,---,---,35.93298020,140.55246800
1,34.6,0.0,00:42:16.6,00:02:01.3,4.12,00:00:00.0,0.00,34.5,7,7.3,0.0,---,---,---,---,---,---,---,---,---,---,35.93295310,140.55254130
1,41.3,0.0,00:42:18.3,00:02:00.7,4.14,00:00:00.0,0.00,34.0,8,6.7,0.0,---,---,---,---,---,---,---,---,---,---,35.93292790,140.55260870
1,49.3,0.0,00:42:20.2,00:02:01.3,4.12,00:00:00.0,0.00,34.5,9,8.0,0.0,---,---,---,---,---,---,---,---,---,---,35.93289740,140.55268880
1,56.6,0.0,00:42:22.0,00:02:01.9,4.10,00:00:00.0,0.00,31.5,10,7.3,0.0,---,---,---,---,---,---,---,---,---,---,35.93286900,140.55276170
